EntrezGene ID	Affy HG U133B probeset
84233	223334_at
84233	223334_at
84233	
7100	
7100	
7100	
7100	
7100	
3115	
3115	
3115	
3115	
3115	
3115	
3115	
3115	
3115	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
51233	237325_at
51233	
79669	
79669	
79669	
79669	
79669	
79669	
79669	
340526	227823_at
340526	227823_at
22883	
22883	
22883	
22883	
22883	
101927120	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
101929066	
101929066	
101929066	
101929066	
101929066	
8170	
8170	
8170	
8170	
390144	
114905	223877_at
114905	223877_at
114905	239349_at
114905	
114905	
114905	223877_at
114905	223877_at
114905	223877_at
114905	239349_at
245927	
55773	
55773	225121_at
55773	225121_at
55773	225121_at
55773	
55773	
55773	
55773	
55773	225121_at
5020	
100129543	
100129543	
100129543	
122011	
55344	222795_s_at
55344	222795_s_at
55344	222795_s_at
55344	
55344	222795_s_at
55344	
55344	
55344	222795_s_at
55344	222795_s_at
55344	222795_s_at
55344	222795_s_at
200634	235148_at
200634	235148_at
200634	235148_at
200634	235148_at
200634	235148_at
200634	235148_at
200634	235148_at
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
100874253	237224_at
29890	226987_at
84255	
84255	223304_at
84255	223304_at
84255	223304_at
84255	223304_at
84255	223304_at
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
55585	222480_at
55585	231816_s_at
55585	231816_s_at
55585	
55585	
55585	
55585	
55585	
5903	226922_at
5903	
5903	
5903	
5903	
6348	
6348	
6348	
503639	
503639	
503639	242546_at
503639	
503639	242881_x_at
503639	
503639	
503639	
101928820	234219_at
4609	
4609	
4609	
