EntrezGene ID	RefSeq ncRNA [e.g. NR_002834]
574409	NR_029968
102465467	NR_106837
100616282	NR_039892
26799	NR_002743
654320	NR_002920
1675	
407031	NR_029833
100847050	NR_049823
100126338	NR_030633
693200	NR_030753
100506376	
100423019	NR_036193
724033	NR_030386
6048	
100302258	NR_031715
100422867	NR_036180
100422929	NR_036222
693127	NR_030330
102466806	NR_106958
100302283	NR_031596
100616380	NR_039818
28992	
100847032	NR_049893
4580	
57501	
100147744	NR_023317
693181	NR_030326
102465832	NR_106994
693178	NR_030324
6203	
100423027	NR_036224
100169755	NR_023366
100616290	NR_039754
102465429	NR_106775
693143	NR_030285
100422850	NR_036103
100126321	NR_030627
102465451	NR_106811
100616274	NR_039966
767581	NR_003197
101954269	NR_104078
100302263	NR_031729
728228	NR_033917
100616216	NR_039960
693176	NR_030322
102466721	NR_106783
100033433	NR_003336
100302212	NR_031714
574040	NR_002325
100422938	NR_036095
103695431	NR_125762
677815	NR_002968
6304	
574042	NR_002327
64735	NR_033914
64735	
406951	NR_029525
677774	NR_002997
102465538	NR_106952
724027	NR_030394
149018	
100302270	NR_031640
692106	NR_003054
100302243	NR_036054
7272	
101929351	NR_121598
101929351	
101928468	
7512	
58493	
406973	NR_029617
693217	NR_030362
100616160	NR_039799
100847080	NR_049822
140597	
100313779	NR_031751
406950	NR_029486
100500911	NR_037509
1108	
26816	NR_000018
102465450	NR_106810
100422947	NR_036068
254528	
221662	
26793	NR_002739
5328	
102465432	NR_106781
102466728	NR_106812
10136	
100313777	NR_031577
100423020	NR_036212
574474	NR_030196
100616463	NR_039657
100423015	NR_036252
130872	
102465868	NR_107033
574433	NR_030155
677801	NR_002955
9301	NR_002563
11118	
406912	NR_029694
407015	NR_029499
100847035	NR_049839
100313830	NR_031677
100616237	NR_039783
100616385	NR_039885
100313884	NR_031680
102465855	NR_107012
102465855	NR_107013
102466250	NR_107012
102466250	NR_107013
100422994	NR_036225
102466268	NR_106766
102465910	NR_107063
100190949	
283116	
100616321	NR_039620
1299	
26778	NR_000011
84501	
100616141	NR_039626
6083	NR_000006
677826	NR_002977
102465461	NR_106828
103504726	NR_128712
102464837	NR_106737
100616174	NR_039786
57621	
102465249	NR_106757
677772	NR_003006
767566	NR_003234
64711	
574456	NR_030178
100033425	NR_003328
102466918	NR_107026
102466201	NR_106912
100616402	NR_039845
102465471	NR_106844
1674	
693166	NR_030307
102466259	NR_107061
767612	NR_003224
102465523	NR_106927
388697	
100616142	NR_039663
407054	NR_029513
84067	
102465906	NR_107057
100847083	NR_049858
102464828	NR_106724
84437	
401172	NR_028351
401172	
102465141	NR_106751
664614	NR_030258
574410	NR_036133
147798	
154150	
100616376	NR_039713
100422949	NR_036062
693230	NR_030375
406893	NR_029516
102465491	NR_106877
100616377	NR_039967
100616252	NR_039674
9583	
102466737	NR_106851
285407	NR_073386
285407	
100616183	NR_039738
100126327	NR_030634
100422969	NR_036056
102466081	NR_106713
100616289	NR_039686
6084	NR_004391
100423042	NR_036236
219482	
406923	NR_029676
102466878	NR_107045
5475	
677777	NR_003010
102465496	NR_106884
100187716	NR_030410
677803	NR_002957
100302192	NR_031642
100616453	NR_039835
677812	NR_002965
145741	
102465838	NR_107004
693204	NR_030350
102464826	NR_106721
692201	NR_004399
5436	
177	
177	NR_038190
100302177	NR_031673
102465135	NR_106743
406931	NR_029603
206338	
26775	NR_002581
677828	NR_003014
102466722	NR_106788
100422935	NR_036134
102464823	NR_106716
723778	NR_030755
338324	
677846	NR_002996
100126333	NR_030598
442917	NR_029865
55692	
1060	
100500841	NR_037449
100616305	NR_039638
55421	
100616154	NR_039676
693124	NR_030241
102465977	NR_106887
347694	NR_028501
347694	
102465532	NR_106943
100616206	NR_039796
100422927	NR_036254
100422898	NR_036217
693162	NR_030303
100169757	NR_023368
102465447	NR_106805
677766	NR_003023
84220	
729540	
100033449	NR_003304
4849	
85449	
100302159	NR_031644
642361	NR_029407
100422967	NR_036101
693175	NR_030321
574449	NR_030171
102465434	NR_106784
100126337	NR_030629
440888	NR_027714
196410	
767583	NR_003199
102723502	
102724631	
7596	
102724532	
100500844	NR_037437
100616152	NR_039968
100302225	NR_031745
677823	NR_002974
692203	NR_003068
106481742	NR_133677
106481742	NR_133678
106780825	NR_133677
106780825	NR_133678
692053	NR_003029
100616413	NR_039669
114599	NR_000025
100126332	NR_030641
100847021	NR_049798
574445	NR_030167
100616491	NR_039774
100302223	NR_031637
55971	
100616317	NR_039937
100616260	NR_039808
102465482	NR_106862
100616120	NR_039844
100500889	NR_037430
100033813	NR_003354
692075	NR_003036
693156	NR_030297
100302195	NR_031724
1460	
693222	NR_030367
100616184	NR_039688
148709	NR_002929
148709	
100616405	NR_039743
100616318	NR_039810
94162	NR_001456
26791	NR_002571
100616242	NR_039820
100847057	NR_049821
693189	NR_030335
10197	
377841	
100126351	NR_030635
100302112	NR_031697
100616144	NR_039765
100169756	NR_023367
84066	
100616122	NR_039749
100616499	NR_039634
100616371	NR_039901
57835	
100616133	NR_039848
27244	
201799	
100033418	NR_003321
102465502	NR_106893
102465457	NR_106820
100616447	NR_039940
407045	NR_029607
407007	NR_029636
4335	
56901	
79937	
100847018	NR_049850
100422916	NR_036172
574517	NR_030239
343099	
1730	
57414	
285966	
100033454	NR_003308
692158	NR_004390
102724728	
574496	NR_030218
102465665	NR_106957
26795	NR_002437
9303	NR_002565
102465509	NR_106905
100302157	NR_031575
100616315	NR_039942
100846996	NR_049804
574514	NR_030236
100422878	NR_036127
767579	NR_003195
100616280	NR_039725
100616229	NR_039684
100313770	NR_031624
121549	
100500824	NR_037423
132789	
102723532	
105369274	
26788	NR_002736
100616223	NR_039732
100616397	NR_039642
5663	
102466199	NR_106883
100422853	NR_036147
100422993	NR_036078
100422993	NR_036077
100423002	NR_036078
100423002	NR_036077
8479	
693136	NR_030294
100422870	NR_036141
100423009	NR_036255
406928	NR_029679
80173	
406900	NR_029831
102465484	NR_106864
100033803	NR_003344
100033603	NR_003313
29057	
768218	NR_030413
100616119	NR_039846
100422940	NR_036190
693192	NR_030338
693194	NR_030340
100847013	NR_049889
767604	NR_003217
100500901	NR_037496
693148	NR_030289
85316	
85317	
693224	NR_030369
100302277	NR_031688
100873856	NR_047032
406902	NR_029608
644139	
9351	
101954277	NR_104086
100847074	NR_049811
406924	NR_029698
100616352	NR_039785
285550	
100302213	NR_031592
100500885	NR_037491
407024	NR_029517
9376	
100616241	NR_039868
100422863	NR_036223
100169753	NR_023364
100126311	NR_030599
2191	
100847063	NR_049865
100616439	NR_039802
102466516	NR_106719
693151	NR_030291
102466995	NR_106978
100847004	NR_049820
100846993	NR_049807
319139	NR_001276
619565	NR_002585
102464824	NR_106717
100616270	NR_039795
100423013	NR_036195
574038	NR_029965
100616295	NR_039921
25978	
102466725	NR_106802
100616374	NR_130468
652965	NR_002918
100302273	NR_031655
619569	NR_002590
100616323	NR_039702
1831	
94163	NR_001457
143162	
11342	
100126310	NR_030597
100847062	NR_049827
102465876	NR_107046
102465430	NR_106776
8970	
100500918	NR_037424
574462	NR_030184
574462	NR_030187
574465	NR_030184
574465	NR_030187
692108	NR_003056
6483	
100422948	NR_036247
100500822	NR_037501
100302208	NR_031654
102465473	NR_106848
102466864	NR_106997
100337591	NR_033309
677771	NR_003005
102465694	NR_106981
91380	NR_001293
100422984	NR_036194
102465488	NR_106872
8676	
102466723	NR_106792
100302224	NR_031747
100422855	NR_036183
692212	NR_003077
26820	NR_002447
693227	NR_030372
100500818	NR_037510
6351	
147929	
100033822	NR_003362
406908	NR_029669
693232	NR_030377
102465465	NR_106834
724031	NR_030383
103504728	NR_128714
100422833	NR_036155
100616421	NR_039838
100302255	NR_031568
31	
100616161	NR_039958
100500878	NR_037450
6359	
677770	NR_003004
3034	
102465974	NR_106777
100616201	NR_039608
407055	NR_029514
100126325	NR_030632
100616353	NR_039757
100134015	NR_038395
100134015	
100616363	NR_039888
406904	NR_029780
100422869	NR_036107
199	
100302160	NR_036050
11143	
100616492	NR_039615
100313921	NR_031614
100616219	NR_039922
442904	NR_029899
1121	
442912	NR_029860
574455	NR_030177
677829	NR_002979
689	
100302274	NR_031589
100422851	NR_036200
101060691	
101060691	NR_120613
3849	
100616251	NR_039763
677795	NR_002990
767609	NR_003221
653689	
100616220	NR_039889
724028	NR_030395
57116	
100616306	NR_039667
100302181	NR_031626
677804	NR_002958
22881	
100033442	NR_003297
56893	
100422918	NR_036126
693140	NR_030282
100616424	NR_039856
23155	
125050	NR_001445
102465691	NR_106976
100616415	NR_039761
767603	NR_003216
100847065	NR_049857
22909	
100847058	NR_049860
84620	
28985	
100422876	NR_036104
4133	
102466758	NR_106949
5176	
100302203	NR_031569
1522	
8794	
594839	NR_002436
102465499	NR_106889
54535	
100500836	NR_037479
100500836	NR_037477
100500920	NR_037479
100500920	NR_037477
692107	NR_003055
100846995	NR_049796
100500842	NR_037425
102465513	NR_106911
407050	NR_029510
100616319	NR_039714
677843	NR_003019
102465468	NR_106839
100847024	NR_049883
100302111	NR_036049
100616287	NR_039716
406963	NR_029616
100616172	NR_039870
10211	
693223	NR_030368
100302284	NR_031638
23378	
100422981	NR_036131
102465528	NR_106937
102466906	NR_106739
780854	NR_006882
100422868	NR_036232
100302220	NR_031625
100500910	NR_037442
101928388	NR_120334
407013	NR_029497
101059938	
101059953	
102465839	NR_107006
100422829	NR_036203
100033451	NR_003306
100616468	NR_039896
100616481	NR_039619
102466222	NR_106956
100505681	
100505681	NR_038452
100616116	NR_039791
100500854	NR_037443
101929439	NR_120360
100847023	NR_049814
102466759	NR_106954
102466193	NR_106815
79573	
406991	NR_029493
102465802	NR_106991
100302158	NR_031599
102466754	NR_106933
100616479	NR_039778
100033802	NR_003343
9302	NR_002564
406913	NR_029695
3337	
100616438	NR_039775
406892	NR_029515
100616465	NR_039800
767598	NR_003213
494332	NR_029875
26585	
123745	
220963	
643853	
100422895	NR_036182
253260	
100422881	NR_036129
126123	
100616151	NR_039700
102465530	NR_106941
100616170	NR_039893
654319	NR_002919
102465483	NR_106863
100847069	NR_049856
102465515	NR_106915
677681	NR_002999
100124541	NR_003711
26813	NR_000016
407035	NR_029505
319103	NR_002916
253175	
728577	
100289279	
26772	NR_000009
84929	
23406	
102466735	NR_106846
100302165	NR_031675
100033812	NR_003353
100500893	NR_037436
406933	NR_029682
100616410	NR_039841
100033446	NR_003301
100616346	NR_039792
100616493	NR_039643
100616239	NR_039854
100302128	NR_031632
100302164	NR_031579
767588	NR_003203
100422963	NR_036253
100616294	NR_039894
399474	
7357	
6835	
102466911	NR_106843
478	
100169764	NR_023375
100847066	NR_049875
1139	
102465522	NR_106925
55667	
101927931	
101927931	NR_110724
406954	NR_029611
768217	NR_030412
100616193	NR_039658
100616459	NR_039900
100422826	NR_036238
574488	NR_030210
27335	
102465871	NR_107038
407022	NR_029844
100616308	NR_039812
100500871	NR_037417
100500871	NR_037418
100616368	NR_039837
100616451	NR_039681
692213	NR_003078
406992	NR_029623
8555	
10273	
494551	
1656	
100422907	NR_036153
102466875	NR_107030
100500906	NR_037469
100616131	NR_039693
693197	NR_030343
100616433	NR_039613
767600	NR_003215
728039	NR_027292
728039	
102465874	NR_107042
100033458	NR_003311
154	
100302256	NR_031591
102465247	NR_106753
100616147	NR_039926
100423028	NR_036216
102465505	NR_106898
100422858	NR_036245
100423036	NR_036227
100616291	NR_039954
100847060	NR_049886
100616312	NR_039690
6635	
23409	
84935	
100126297	NR_030582
653784	
100847039	NR_049815
574493	NR_030215
100500817	NR_037406
100847071	NR_049864
100423041	NR_036178
57658	
100500819	NR_037403
100302146	NR_031634
100033439	NR_003341
83707	
406895	NR_029520
102465869	NR_107034
100616285	NR_039788
102466736	NR_106847
693211	NR_030356
100033810	NR_003351
100302184	NR_031674
100874528	NR_104188
100616158	NR_039727
100616478	NR_039715
100616322	NR_039830
100500810	NR_037415
100313887	NR_031754
693210	NR_030355
574501	NR_030223
100616488	NR_039699
22888	
79811	
677841	NR_002988
102465836	NR_107000
100616384	NR_039621
728062	
102464825	NR_106718
100616232	NR_130465
83548	
406997	NR_029628
100302286	NR_031671
84246	
102465683	NR_106970
102465801	NR_106990
100616364	NR_039946
102465535	NR_106948
100422848	NR_036270
102466873	NR_107019
554212	NR_029955
54964	
407029	NR_029504
767585	NR_003201
100616302	NR_039692
56137	
100422923	NR_036146
574411	NR_039876
574411	NR_029970
100616273	NR_039876
100616273	NR_029970
100423001	NR_036099
100616379	NR_039736
56156	
102466104	NR_106738
100422925	NR_036206
407047	NR_030741
407028	NR_029835
100616314	NR_039905
693129	NR_030347
693129	NR_037515
100500856	NR_030347
100500856	NR_037515
100422996	NR_036226
102465689	NR_106974
103504740	NR_128713
100616401	NR_039745
100847036	NR_049818
102465520	NR_106922
693186	NR_030332
2965	
100302275	NR_031630
387715	
100847087	NR_049824
26821	NR_002915
148	
677847	NR_002989
102465493	NR_106879
100847002	NR_049809
100616489	NR_039612
89839	
693174	NR_030318
255631	
102465427	NR_106772
102465427	NR_106771
102466189	NR_106772
102466189	NR_106771
285237	
693135	NR_030277
81168	
9883	
574511	NR_030233
406903	NR_029609
100506127	NR_130990
100506127	
100422825	NR_036118
100422825	NR_036117
100422827	NR_036118
100422827	NR_036117
100169765	NR_023376
4670	
100500847	NR_037409
100616233	NR_039664
