EntrezGene ID	Affy HTA-2_0 probeset
26812	18671272
26812	TC19001055.hg
26812	18672323
26812	18671271
26812	18672321
26812	18672324
26812	18671270
26812	18672322
26812	18672320
26812	18672325
692149	TC15001577.hg
100422983	TC17000127.hg
102465254	
100422944	TC17001951.hg
768212	TC14000724.hg
768212	TC14000722.hg
768212	TC14000723.hg
100616450	
100616225	TC20000961.hg
100616500	TC10001179.hg
27316	
27316	TC0X002243.hg
27316	TC0X001419.hg
27316	TC0X001420.hg
100422965	TC02000182.hg
693155	
100616403	
677844	TC16000052.hg
677844	ADDON002324.hg
677844	TC16001382.hg
677844	TC16000051.hg
102465875	
677835	
677808	TC11000172.hg
26080	TCUn_gl000212000003.hg
26080	TCUn_gl000212000001.hg
100846991	
55655	
677805	
100616186	TC11002186.hg
100847019	
26783	TC09001602.hg
406941	TC02001465.hg
100422956	
267010	TC22001130.hg
267010	TC22000358.hg
102466734	
100616378	
29995	TC03002204.hg
29995	TC03000027.hg
29995	ADDON002333.hg
29995	TC03000026.hg
29995	
101927459	TC08001534.hg
101927459	TC08002474.hg
100126301	TC0X001468.hg
100126301	TC0X001467.hg
442892	18673408
442892	TC12000463.hg
442892	18673409
442892	18670837
10915	
407016	TC12001638.hg
26785	TC05001834.hg
677799	TC0X000324.hg
2339	18670688
2339	18670682
2339	18670687
2339	18670689
2339	18672236
2339	18670690
2339	18670701
2339	18670702
2339	18670693
2339	18670699
2339	18670683
2339	TC08002599.hg
2339	18670684
2339	18670694
2339	18670703
2339	TC08001898.hg
2339	18670697
2339	18670700
2339	18670695
2339	18672237
2339	18672238
2339	18672243
2339	18672244
2339	18672242
2339	18672241
2339	18670685
2339	18672256
2339	18670686
2339	18672255
2339	18670696
2339	18670692
2339	18672254
2339	18670698
9437	
100500855	
8225	TC0Y000111.hg
8225	TC0X000794.hg
100616404	TC15000795.hg
100126306	TC0X001452.hg
100126306	TC0X001451.hg
693154	TC03001999.hg
102466720	
100126342	TC0X001453.hg
10068	TC11002771.hg
10068	TC11000747.hg
10068	
26505	TC02000587.hg
26505	
406998	TC02001871.hg
693228	TC19000794.hg
693226	TC19001534.hg
407011	TC09002111.hg
100616164	TC01002442.hg
692206	TC09001565.hg
100616132	
677820	
1979	TC10000428.hg
1979	TC10000429.hg
100302178	TC01003511.hg
100616498	TC05000930.hg
7203	TC01005857.hg
7203	TC01003337.hg
7203	
406981	TC0X001383.hg
406981	TC0X001382.hg
406981	TC0X001384.hg
406981	TC0X001381.hg
26824	TC01000388.hg
103695436	TC14001752.hg
103695436	TC14000427.hg
103695436	TC14001753.hg
406944	TC02002795.hg
105374580	TC02001808.hg
1616	
10004	
10004	TC11001922.hg
100302196	
100616398	TC10000866.hg
100616276	
203611	TC0Y000100.hg
203611	TC0Y000203.hg
203611	TC0Y000063.hg
203611	TC0Y000174.hg
79576	TC0X001317.hg
79576	TC0X001318.hg
79576	TC0X002210.hg
79576	ADDON001111.hg
79576	
100423031	
100126329	
100126352	
103504732	
100126356	TC17000367.hg
100616495	TC14000646.hg
100500801	TC01000486.hg
100616178	
102466198	
100616228	TC15001043.hg
100616228	TC15001097.hg
100616228	TC15000135.hg
2979	TC06001730.hg
692086	TC20001451.hg
692086	TC20000660.hg
170689	TC11001197.hg
677776	TC09000934.hg
102465252	
1353	TC17002708.hg
1353	TC17001709.hg
1353	
100124540	TC0X000235.hg
100422889	TC20000943.hg
102465511	
102464831	
677834	TC01002542.hg
100422892	TC10001554.hg
677794	TC12001455.hg
102465539	
102466192	
102466162	
102465533	
102466731	
100423006	TC16000182.hg
100423006	TC16000911.hg
100423006	TC16000196.hg
100423006	TC16000910.hg
116512	TC11002010.hg
338428	TC15000117.hg
338428	TC15000047.hg
100500852	TC16000895.hg
100500852	TC16000775.hg
102465463	TC16001909.hg
100616300	TC14001558.hg
102466733	
51112	
100616331	TC07000427.hg
100616331	TC07001468.hg
100302168	
100616140	
100500865	TC05001765.hg
100616264	
101060684	TC01006368.hg
101060684	TC01004689.hg
101060684	TC01004691.hg
101060684	TC01005800.hg
101060684	
100500833	TC22000635.hg
115123	TC05001746.hg
115123	TC05003221.hg
115123	
8711	TC17000092.hg
8711	
677763	TC17000121.hg
103504736	
653073	
653720	
728498	
105378732	TC01004387.hg
105378732	TC01000656.hg
102465668	18670136
102465668	18670137
102465668	18673768
102465668	18673769
100616431	
100616435	TC04001113.hg
25940	TC02001729.hg
25940	
100616246	TC04000734.hg
100616457	TC11000964.hg
100422952	TC03000292.hg
374907	TC19001556.hg
374907	
102465257	
378706	TC14001108.hg
378706	TC14001997.hg
378706	TC14000273.hg
378706	TC09000061.hg
100616128	TC10001503.hg
100616192	TC10001503.hg
344022	TC02000438.hg
102465437	
100616341	TC02002209.hg
100616341	TC02000536.hg
100422896	TC04001648.hg
79613	
79613	TC16000561.hg
8227	TC0X002310.hg
8227	TC0X001570.hg
8227	TC0Y000349.hg
100616177	
101410545	TC04000507.hg
51725	TC03000623.hg
100506013	TC04002304.hg
100506013	TC04000823.hg
100506013	
677817	
128218	TC01000542.hg
128218	
100847085	
9655	TC02000286.hg
100500839	
102466972	
245939	TC20000537.hg
245939	ADDON002331.hg
101929261	TC05002843.hg
101929261	TC05001144.hg
102466190	
26519	TC11001794.hg
100126330	
144486	TC12002521.hg
144486	TC12000731.hg
56658	
202658	
693191	TC10000489.hg
353511	TC16000893.hg
353511	TC16001785.hg
353511	
100422823	TC11002147.hg
442902	TC19001626.hg
100616333	TC09001705.hg
100616333	TC09001704.hg
100616333	TC09001707.hg
3803	
102466874	
100500811	TC09002868.hg
100500811	TC09001760.hg
102465492	
100500821	TC09000432.hg
56662	TC05000736.hg
100033443	TC15000111.hg
100033443	TC15000093.hg
100033443	TC15000080.hg
100422830	
6218	
3447	ADDON002831.hg
3447	TC09000959.hg
677797	
677837	
80737	
100847075	
337976	TC21000108.hg
56979	TC05000114.hg
56979	
389362	
389362	TC06002472.hg
389362	TC06002474.hg
100500835	TC07002039.hg
100126319	TC02001872.hg
8449	
729665	
729665	TC14002326.hg
677825	
100313842	TC13000052.hg
693233	TC22000479.hg
102465525	
140881	TC20000004.hg
140881	TC20001049.hg
56888	
