EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]
114825	NM_001130864
3010	NM_005323
55602	NM_017632
55602	
102466738	
100423000	
23769	NM_013280
79791	NM_024735
79791	
79791	NM_001282683
102465431	
102465452	
102465882	
692111	
574475	
768219	
102466740	
100500862	
574030	
79000	
79000	NM_024037
79000	NM_001287490
574451	
677849	
116938	
4696	NM_004542
100616338	
100616471	
100313822	
55670	NM_017929
55670	NM_001127649
55670	
55670	NM_001199319
693164	
692110	
100616452	
102465693	
4864	
4864	NM_000271
8724	NM_003795
8724	NM_152827
8724	
8724	NM_001300929
57504	NM_001282755
57504	NM_001282756
57504	
57504	NM_020744
7014	NM_005652
7014	
664709	
100036565	
102724788	
100616470	
407027	
406965	
427	NM_177924
427	NM_004315
427	
427	NM_001127505
100033453	
407048	
574482	
767568	
100422860	
103504737	
977	
977	NM_004357
977	NM_139029
977	NM_001039490
977	NM_139030
100616358	
26782	
100616171	
102466876	
574476	
51719	NM_016289
51719	NM_001130850
51719	NM_001130849
51719	
100033821	
100302210	
693229	
100169768	
102466204	
406901	
2538	NM_001270397
2538	NM_000151
2538	
693225	
100500899	
677827	
100422943	
407036	
102466747	
100616394	
100033818	
4485	
4485	NM_020998
102465453	
406978	
693195	
102465445	
102465251	
100302174	
100616395	
342510	NM_181449
342510	
8483	NM_003613
6060	
692226	
406979	
574409	
102465467	
100616282	
26799	
654320	
1675	NM_001928
1675	NM_001317335
1675	
407031	
100847050	
100126338	
693200	
100506376	
100423019	
724033	
6048	NM_006913
6048	
100302258	
100422867	
100422929	
693127	
102466806	
100302283	
100616380	
28992	NM_014067
28992	
100847032	
4580	NM_002455
4580	NM_198883
4580	
57501	
57501	NM_020741
100147744	
693181	
102465832	
693178	
6203	NM_001013
6203	
100423027	
100169755	
100616290	
102465429	
693143	
100422850	
100126321	
102465451	
100616274	
767581	
101954269	
100302263	
728228	
100616216	
693176	
102466721	
100033433	
100302212	
574040	
100422938	
103695431	
677815	
6304	NM_002971
6304	NM_001195470
6304	NM_001131010
6304	
574042	
64735	
406951	
677774	
102465538	
724027	
149018	NM_001010857
100302270	
692106	
100302243	
7272	
7272	NM_003318
7272	NM_001166691
101929351	
101928468	
7512	
7512	NM_003399
58493	NM_021218
58493	
406973	
693217	
100616160	
100847080	
140597	
140597	NM_080390
100313779	
406950	
100500911	
1108	
1108	NM_001297553
1108	NM_001273
26816	
102465450	
100422947	
254528	
221662	NM_001143942
221662	
221662	NM_001143941
221662	NM_153020
26793	
5328	
5328	NM_002658
5328	NM_001145031
102465432	
102466728	
10136	NM_005747
10136	
100313777	
100423020	
574474	
100616463	
100423015	
130872	NM_152392
130872	
102465868	
574433	
677801	
9301	
11118	NM_001197248
11118	NM_001197249
11118	
11118	NM_001197247
11118	NM_001197246
11118	NM_007047
406912	
407015	
100847035	
100313830	
100616237	
100616385	
100313884	
102465855	
102466250	
100422994	
102466268	
102465910	
100190949	NM_001145132
283116	
283116	NM_001206626
100616321	
1299	
1299	NM_001853
26778	
84501	
84501	NM_032451
100616141	
6083	
677826	
102465461	
103504726	
102464837	
100616174	
57621	NM_020861
102465249	
677772	
767566	
64711	NM_001009606
574456	
100033425	
102466918	
102466201	
100616402	
102465471	
1674	NM_001927
1674	
693166	
102466259	
767612	
102465523	
388697	NM_001009931
100616142	
407054	
84067	NM_001098794
84067	
84067	NM_032127
102465906	
