EntrezGene ID	Affy HG U133A probeset
154822	
154822	
84233	
84233	
84233	
84233	
84233	
84233	
7100	210166_at
7100	
7100	
7100	
7100	210166_at
3115	
3115	
3115	
3115	
3115	
3115	
3115	
3115	
3115	
1635	201571_s_at
1635	210137_s_at
1635	201572_x_at
1635	201571_s_at
1635	210137_s_at
1635	201572_x_at
1635	201571_s_at
1635	210137_s_at
1635	201572_x_at
1635	201571_s_at
1635	210137_s_at
1635	201572_x_at
1635	201571_s_at
1635	210137_s_at
1635	201572_x_at
1635	201571_s_at
1635	201571_s_at
1635	210137_s_at
1635	201572_x_at
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
1635	
51233	
51233	
79669	
79669	219474_at
79669	
79669	
79669	
79669	
79669	219474_at
340526	
340526	
22883	201561_s_at
22883	201561_s_at
22883	201561_s_at
22883	201561_s_at
22883	
101927120	
275	204294_at
275	204294_at
275	204294_at
275	204294_at
275	204294_at
275	204294_at
275	204294_at
275	204294_at
275	204294_at
275	204294_at
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	
275	204294_at
275	204294_at
101929066	
101929066	
101929066	
101929066	
101929066	
8170	208409_at
8170	208409_at
8170	
8170	208409_at
390144	
114905	
114905	
114905	
114905	
114905	
114905	
114905	
245927	
55773	
55773	
55773	
55773	
55773	
55773	
55773	
55773	
55773	
5020	207576_x_at
100129543	
100129543	
100129543	
122011	
55344	218951_s_at
55344	
55344	
55344	
55344	218951_s_at
55344	
55344	
55344	
55344	
55344	
55344	218951_s_at
200634	
200634	
200634	
200634	
200634	
200634	
200634	
4125	209166_s_at
4125	209166_s_at
4125	209166_s_at
4125	209166_s_at
4125	209166_s_at
4125	209166_s_at
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
4125	
100874253	
29890	202689_at
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
84255	
55585	217978_s_at
55585	217978_s_at
55585	217978_s_at
55585	217978_s_at
55585	
55585	
55585	
5903	201713_s_at
