EntrezGene ID	Ensembl Gene ID
29131	ENSRNOG00000017712
60630	ENSRNOG00000000567
679713	ENSRNOG00000008142
681913	ENSRNOG00000047708
245903	ENSRNOG00000019885
679668	ENSRNOG00000006093
500156	ENSRNOG00000006383
29182	ENSRNOG00000018557
305453	ENSRNOG00000058434
24548	ENSRNOG00000011706
300626	ENSRNOG00000052349
100910851	ENSRNOG00000048953
84349	ENSRNOG00000000871
405073	ENSRNOG00000047382
171352	ENSRNOG00000046643
295241	ENSRNOG00000042977
306562	ENSRNOG00000016423
29532	ENSRNOG00000013456
301626	ENSRNOG00000049797
500400	ENSRNOG00000009114
100363289	ENSRNOG00000010657
300643	ENSRNOG00000055356
360534	ENSRNOG00000002915
103694624	ENSRNOG00000057635
103694770	ENSRNOG00000057635
100911949	ENSRNOG00000059582
315203	ENSRNOG00000016968
309922	ENSRNOG00000012414
252959	ENSRNOG00000059865
297123	ENSRNOG00000005478
310632	ENSRNOG00000023640
289500	ENSRNOG00000002125
685304	ENSRNOG00000040068
311185	ENSRNOG00000009397
310820	ENSRNOG00000010827
317576	ENSRNOG00000003875
360962	ENSRNOG00000017259
684785	ENSRNOG00000038365
293398	ENSRNOG00000036787
362855	ENSRNOG00000004813
54305	ENSRNOG00000002793
314800	ENSRNOG00000004448
360720	ENSRNOG00000026085
65192	ENSRNOG00000010128
308345	ENSRNOG00000017508
362710	ENSRNOG00000008612
303577	ENSRNOG00000003108
294103	ENSRNOG00000011068
360992	ENSRNOG00000003600
498038	ENSRNOG00000028774
79116	ENSRNOG00000009663
498736	ENSRNOG00000017558
315422	ENSRNOG00000005923
315422	ENSRNOG00000005923
300659	ENSRNOG00000007720
500473	ENSRNOG00000046529
501795	ENSRNOG00000028892
297419	ENSRNOG00000009256
294881	ENSRNOG00000033830
170668	ENSRNOG00000033744
295876	ENSRNOG00000053394
94193	ENSRNOG00000012568
63864	ENSRNOG00000003049
291470	ENSRNOG00000014988
64865	ENSRNOG00000013101
404998	ENSRNOG00000046718
80977	ENSRNOG00000008000
289525	ENSRNOG00000003672
79146	ENSRNOG00000004650
685634	ENSRNOG00000014352
170501	ENSRNOG00000002488
299604	ENSRNOG00000024879
313891	ENSRNOG00000008942
404894	ENSRNOG00000030554
311414	ENSRNOG00000017647
309578	ENSRNOG00000050354
29731	ENSRNOG00000062002
291527	ENSRNOG00000026324
360612	ENSRNOG00000010214
29647	ENSRNOG00000060946
116593	ENSRNOG00000038258
24528	ENSRNOG00000010811
303676	ENSRNOG00000003918
102553119	ENSRNOG00000014212
361025	ENSRNOG00000006334
24890	ENSRNOG00000019358
311362	ENSRNOG00000016189
688981	ENSRNOG00000032000
691149	ENSRNOG00000013538
316400	ENSRNOG00000013388
363707	ENSRNOG00000009351
81818	ENSRNOG00000018087
312538	ENSRNOG00000016316
362366	ENSRNOG00000009886
685666	ENSRNOG00000013671
65142	ENSRNOG00000021010
245966	ENSRNOG00000061100
317389	ENSRNOG00000002951
366618	ENSRNOG00000005765
361888	ENSRNOG00000047506
100362980	ENSRNOG00000047506
680071	ENSRNOG00000012544
302983	ENSRNOG00000033568
305268	ENSRNOG00000021931
301131	ENSRNOG00000045999
298298	ENSRNOG00000006787
689485	ENSRNOG00000031928
313589	ENSRNOG00000009656
287380	ENSRNOG00000005360
293058	ENSRNOG00000019426
295246	ENSRNOG00000020621
290500	ENSRNOG00000027040
360886	ENSRNOG00000023541
366111	ENSRNOG00000047252
299127	ENSRNOG00000004751
102549817	ENSRNOG00000051152
25725	ENSRNOG00000049876
83611	ENSRNOG00000020466
502962	ENSRNOG00000059274
100912356	ENSRNOG00000059274
313776	ENSRNOG00000020244
78965	ENSRNOG00000018659
405363	ENSRNOG00000054146
304984	ENSRNOG00000008492
691905	ENSRNOG00000037231
100909510	ENSRNOG00000059572
362383	ENSRNOG00000005576
361839	ENSRNOG00000000378
363017	ENSRNOG00000010921
361618	ENSRNOG00000020425
408206	ENSRNOG00000015210
363463	ENSRNOG00000003350
29413	ENSRNOG00000021256
298006	ENSRNOG00000034290
288657	ENSRNOG00000001081
299246	ENSRNOG00000004542
366232	ENSRNOG00000007567
65187	ENSRNOG00000053402
311846	ENSRNOG00000025296
295961	ENSRNOG00000007446
293702	ENSRNOG00000021153
298559	ENSRNOG00000011794
287773	ENSRNOG00000003213
299757	ENSRNOG00000004179
311332	ENSRNOG00000014011
679890	ENSRNOG00000022939
405914	ENSRNOG00000056887
303414	ENSRNOG00000008707
296345	ENSRNOG00000008170
311134	ENSRNOG00000012580
312701	ENSRNOG00000010253
314423	ENSRNOG00000005776
50690	ENSRNOG00000057620
309357	ENSRNOG00000011047
313775	ENSRNOG00000020199
360971	ENSRNOG00000008374
363437	ENSRNOG00000040033
502857	ENSRNOG00000037863
294320	ENSRNOG00000000541
297570	ENSRNOG00000049982
502736	ENSRNOG00000010463
24592	ENSRNOG00000013780
404989	ENSRNOG00000053711
171439	ENSRNOG00000005096
501560	ENSRNOG00000006632
363633	ENSRNOG00000028834
306977	ENSRNOG00000055000
290571	ENSRNOG00000057542
290571	ENSRNOG00000057542
287115	ENSRNOG00000009536
689792	ENSRNOG00000037680
290633	ENSRNOG00000023403
292964	ENSRNOG00000011494
100910180	ENSRNOG00000011494
290999	ENSRNOG00000017372
300084	ENSRNOG00000058914
688394	ENSRNOG00000032941
83717	ENSRNOG00000039560
