EntrezGene ID	Associated Gene Name
366783	Alkbh8
301168	Efhb
287191	Rars
83810	Trpv1
688736	MGC116202
365363	Ern2
302969	Srrm2
690344	Uqcc3
500638	Fam110c
117048	Cdh17
364706	Foxc1
116457	Mapk8ip1
502585	Cd160
405307	LOC100911586
361432	Cdh15
116491	LOC100909725
308759	Unc45a
81917	Hip1r
306890	Serpinb9d
100174910	LOC100174910
309179	LOC100909468
25407	Cd59
366270	Edn3
24416	Grm3
498600	Fam32a
296601	Tmem8c
25750	Maob
103694540	LOC103694540
293303	Olr156
25593	Hcrtr1
361032	RGD1310110
292404	Phf10
289778	RGD1309870
299739	Ndufa12
314061	Uvssa
140929	Pde7b
292548	Zfp418
691135	Zfp418
114110	Flt4
300968	Uba5
78981	Tas2r107
311180	Olr725
313089	Slc7a13
684903	Dhx34
691194	Mrgprb3
100310879	Tas2r104
100362548	Elp3
362211	Mall
362432	Clec4d
29260	Tlr4
300177	Irak4
691408	Sbk3
117260	Nudt1
317051	Hhipl2
689936	Hcar1
689443	Tbc1d22a
363720	Chmp2b
100188932	Ost4
60324	Synpo
64531	Synj2bp
25139	Slc2a4
102549803	LOC102549803
102556148	LOC102549803
305711	Olr1606
365191	Chmp2a
362712	Drc1
689619	Nrip2
171485	Cd99l2
498962	Acsf3
366151	Olr777
294963	Mrpl47
302368	Fam46d
499421	RGD1564162
103694873	RGD1564162
316632	Ndufa10l1
678759	Ndufa10l1
361035	Mettl3
311184	C1qtnf4
404898	Olr24
117241	Pop5
363516	Abcd1
405133	Olr818
315716	Cd276
312721	Dyrk4
310672	Tars2
311570	Myh7b
293408	Hbs1l
298065	Tex10
117273	Rhoa
680445	Mbnl2
317308	Zfp36l3
100910418	LOC100910418
60460	Hspa2
366733	Diras3
102554678	Diras3
117099	Bdh1
361055	Kpna3
317183	Pcdh19
291060	Snrnp48
308015	Clca1
292766	Psmd8
308939	Ipo7
287513	Olr1513
307919	Snai3
313545	Tmem125
100365935	Cep85l
291440	Cxxc1
690026	Hils1
690489	Cys1
304007	Cep97
361677	Tollip
680262	Hyls1
405054	Olr1431
362566	Lrrc41
295929	Mybpc3
100360501	Rnh1
84589	Rab9a
294643	Lhfpl2
498233	Lgr6
290206	Psmb11
100912327	LOC100912327
117274	Nr0b2
308703	Lrrk1
360722	Pdia5
171304	Kif11
24221	Avp
360230	Stk40
405976	LOC100912580
499349	Fgfbp3
116596	Map3k8
684762	LOC684762
684841	LOC684762
29409	Mag
29728	Mcm4
405928	Olr341
294380	Lrrtm3
100911660	LOC100911660
100911839	LOC100911839
501031	RGD1560775
502976	RGD1561212
29533	Pxmp2
29337	Plcg2
362688	Gemin6
613224	Defa8
100910199	LOC100910051
64522	Slc5a2
306260	Capn7
404881	Olr507
302946	Glis2
291129	Nrsn1
362196	Chac1
309197	Hnrnpul2
296731	Nub1
297872	Sytl1
689499	LOC689499
291784	RGD1311805
288959	RGD1565158
362821	Olr1069
24407	Grik5
100911140	Ccdc110
80899	Slc21a4
24944	Lamp2
501688	Lsm11
29596	Ifrd1
29712	Kcnj2
313365	Ift74
365549	LOC103694884
103694884	LOC103694884
305105	Fbxo28
309986	Zcchc9
103694210	LOC103694210
288375	Cd209a
305265	Tmprss11e
117518	Ccl17
304020	Filip1l
287592	Tubd1
500280	Lrrn1
100362940	Snx21
246143	Nradd
314300	RGD1307704
305464	Depdc5
315309	Tfcp2
66026	Trpv4
308954	Pdzd9
501023	Gfral
252916	Rab38
29368	Fgf17
297595	P3h3
362047	RGD1309170
362077	Il1f10
25300	Cd247
303638	Abca8a
29238	Drd3
497886	C1qtnf2
25040	Gip
293421	Olr285
24392	Gja1
100362748	Cfap74
445371	Kcnk18
360511	Pank3
100911813	LOC102557117
296504	Abo2
286928	Abi2
295356	Slc16a4
293381	Olr235
317218	Itm2a
246757	Klhl17
293615	Sirt3
317297	MGC114427
58927	Rpl36
680723	Tmem88b
315085	Naprt
116689	Ptpn6
313210	Abca1
59294	Pold1
316327	Arid5a
309533	Sorcs1
405131	Olr821
361237	Cdyl
84409	Robo2
361192	RGD1308544
497921	Slc47a2
259274	Nmt1
365024	Chmp1a
406004	Olr1548
103693566	Olr1548
360478	Smim22
29254	Mgll
65034	Pdzd2
299007	Gpr33
298514	Rragc
25056	Rbp1
293888	Plgrkt
103690011	Olr847
192241	Atp5o
500573	Tmco4
303963	Dzip3
308596	Ush1c
24582	Myh11
140931	Hnrnph1
362518	Tmem246
25469	Kcna4
291961	Exoc3l1
680751	Ebf4
500137	Neurod6
294336	Pcbp3
308923	Ahi1
405231	Olr786
291705	Iws1
89803	Sfrp4
116544	Pou2f3
252835	Gdf5
404796	Olr778
315091	Spatc1
312083	Vps50
312754	Ppp2r5a
497811	Xdh
445271	Jph4
366602	Tspan13
24373	Fst
291921	N4bp1
502353	RGD1561870
314979	Deptor
501043	Il20rb
364086	Vom2r70
692032	Mzt1
293394	Olr251
60353	Acrv1
24175	Adra2c
65274	Nup62
292858	LOC100911689
291075	Eci2
291076	Eci2
363521	Taz
314675	Btbd11
311934	LOC361985
361985	LOC361985
684800	Smap1
500449	Sit1
192360	Eml2
367033	Zfp26
360461	Fopnl
297342	Elmod3
311558	Bpifb6
365297	Crtc3
24560	Cd200
288065	Ccdc58
192183	Pvrl1
259224	Npw
308248	LOC100911926
302780	Rbm31y
301246	Polr1c
59301	Ghrl
84393	Kif4a
363009	LOC100910056
303247	Tnk1
81646	Creb1
100363500	Creb1
362429	Mfap5
100910729	Islr2
502858	Gp9
681123	Tomm6
252921	Tubg1
681096	Nxpe3
404995	Olr209
362525	Txndc8
171061	Mrpl17
315298	Racgap1
499076	Ppp1r12c
24165	Ada
287871	Rptor
497995	Krtap1-5
307982	Nrap
81830	Rab11a
100361660	Zfp961
405057	Olr1421
498534	RGD1565212
365460	Tll2
450222	Clec4b2
363261	Mogat1
360908	Cdc7
300207	RGD1305928
114630	Atp5g3
301045	Cmtm8
290994	Lman2
303670	Tmem104
503252	Coa5
691170	LOC691170
295265	RGD1359334
116700	Cga
296936	Iqub
287388	Zswim7
311118	Tlk1
404999	Olr160
29307	Gpr182
288045	Zdhhc19
289239	Olr1579
366277	Polr3k
366598	Ferd3l
103694731	LOC103694731
291356	Etl4
405123	Olr1638
362635	Zbtb40
303396	Appbp2
59074	Stx8
500348	Bcl2l14
25589	Kdr
362297	Rbm33
299762	Tmtc2
287356	Mrpl55
100910557	LOC100910557
500111	Lrrc61
299606	Elane
305679	Vcl
25311	Dcc
500308	Cecr2
316005	Arih2
310152	Slc45a2
307100	Calml3
100312984	Eif2s3y
288199	Olr1536
252934	Cox5a
309650	Cpne5
300425	Olr1169
102551929	1700020D05Rik
24500	Il9r
300583	LOC100910077
100910077	LOC100910077
500059	Prrt4
293244	Olr105
317407	Bhlhb9
307842	Vac14
405213	Olr826
289608	Gnpda2
60356	Csad
25204	Pcsk1
404827	Olr665
361673	Ifitm3
100360880	Fosb
29336	Sigmar1
362035	Ndst4
298399	Gba2
300923	Nup62cl
29345	Serpinh1
317405	Gprasp2
114639	Zp3
317385	Fus
25202	Gucy1b3
405227	Olr392
405084	Olr1286
301057	Vill
619346	Surf4
100359574	LOC100359574
362510	Melk
363337	LOC363337
140589	Gli1
312502	Rab11fip5
289780	Ddx56
113936	Cpb2
308392	Strn4
309002	Zfp668
499974	Nupl2
679712	Myef2
679566	Fam150b
290647	Lsm4
360928	Dcun1d4
65144	Pdzk1
29333	Cd46
24615	S100a4
313235	Coro2a
361462	Hddc2
368062	Ankib1
297932	Atp6v0d2
359726	Rnasel
24278	Crygd
24279	Crygd
362722	Tmem18
366114	Olr722
311821	Agpat2
690368	Tmem253
54266	Madcam1
25203	Ccnb1
260324	Klra5
266768	Klra5
494204	Klra5
494208	Klra5
315478	Snx19
100911597	Myh9
246238	Bpifa1
58949	Ptafr
680021	Grhpr
295284	Rbm8a
311163	Ctnnd1
494339	Zfp799
100126191	LOC102555167
100363782	LOC102555167
102555167	LOC102555167
498274	RGD1565283
316351	Npas2
361878	Papd4
298748	Ndufaf7
29219	Snca
502996	Oog3
360658	Gga3
500133	Nod1
367100	Smad6
360695	Eva1c
287418	Arhgef15
292788	Psenen
300524	Olr1196
364726	LOC103690297
102557552	LOC103690297
103690297	LOC103690297
170699	Atp2c1
266707	Gjd4
680717	Zfp703
684961	Zmat4
295252	Ube2q1
365577	RGD1559810
100912032	Rps27a-ps1
304608	Mmp19
405937	Olr446
367061	LOC100912415
100912415	LOC100912415
500088	Rab19
405003	Olr137
501281	Ranbp3
502901	Clec9a
362279	Pard6b
85423	Tfpt
436582	Atp6v0e2
114521	Tdg
24981	RT1-Db2
690547	Adam30
307907	RGD1304884
404817	Olr711
290552	Rft1
65052	Pik3c3
304863	RGD1307830
680448	Pcdhgb5
291752	Dsg3
362433	RGD1307916
291339	Commd3
313048	Rbbp4
685216	Wfdc10a
641655	Defb18
494233	Vom1r88
100911988	Olr1139
296655	Stom
291840	Slc38a7
289399	RGD1311892
29366	Serpine2
100910255	LOC100910255
25477	Lhcgr
24473	Htr1a
24925	Adrb1
29301	Hal
29188	Csn3
29188	Csn3
497867	Nudt16l1
314046	Ankmy2
300985	Parp3
299117	Nin
100360533	Fam57a
313604	Zmym1
294421	Serinc1
295798	Olr555
314245	Zbtb25
685174	Cnpy3
311325	Knstrn
405328	Olr1609
307527	Sap130
494306	Vom1r12
302879	Smptb
81682	Lum
100361431	Syce1l
362681	Pusl1
405239	Olr714
305131	Lrrc8d
681429	Rps27l
103690077	Cnga2
501056	Tmem89
497761	Cd2
302962	Zscan10
366457	Olr858
298309	Lrrc42
361728	Tmem138
679534	RGD1560034
307798	Acd
306825	Mylip
292810	Gpatch1
360748	Prkdc
83842	Crot
500893	Gli4
363676	Zpbp2
84380	Dhh
309165	Rela
303542	Ghdc
685462	Emid1
171369	Cd40
313647	Hp1bp3
308000	Pdzd8
405018	Olr57
306203	Pxk
362017	Cyb561d1
54400	Bet1l
502872	Jagn1
314352	Sel1l
501555	Rai2
363028	Spc24
292888	Ptov1
293156	Lrrc51
293573	Mmp21
501515	Zcchc6
687147	Ric3
29393	Col1a1
292007	Dhx38
298575	Pink1
